member_id,customer_id,tier,points_balance,points_earned_lifetime,points_redeemed,join_date,last_activity_date,status
1,3,Bronze,2892,10429,7537,2025-01-30,2025-04-23,active
2,5,Silver,8582,10670,2088,2025-05-02,2025-05-14,active
3,6,Silver,2678,20028,17350,2024-09-10,2025-08-30,active
4,7,Silver,39629,48604,8975,2025-02-19,2025-02-20,active
5,8,Gold,18616,27024,8408,2025-08-31,2025-10-17,active
6,9,Silver,1039,2058,1019,2025-10-27,2025-10-28,active
7,14,Bronze,9932,10942,1010,2025-02-05,2025-09-20,active
8,15,Silver,2354,8024,5670,2025-06-25,2025-08-17,active
9,17,Bronze,541,2932,2391,2025-10-11,2025-10-13,active
10,22,Bronze,4061,26896,22835,2025-01-13,2025-02-03,active
11,26,Bronze,8910,34619,25709,2025-06-27,2025-08-29,active
12,27,Bronze,5007,10766,5759,2024-08-14,2025-08-10,active
13,28,Bronze,19747,30742,10995,2024-09-21,2025-08-24,active
14,31,Bronze,3498,11595,8097,2025-01-06,2025-05-18,active
15,32,Bronze,3805,9696,5891,2024-03-27,2025-09-27,active
16,33,Bronze,21757,40062,18305,2024-08-26,2025-01-18,active
17,35,Bronze,1391,3902,2511,2025-08-23,2025-09-09,active
18,36,Silver,156,18096,17940,2025-01-02,2025-02-01,active
19,38,Bronze,31428,46003,14575,2025-09-21,2025-10-13,active
20,40,Bronze,7535,11687,4152,2025-05-09,2025-07-04,active
21,42,Silver,7924,14068,6144,2025-06-01,2025-10-25,active
22,43,Bronze,21164,32237,11073,2025-10-03,2025-10-20,active
23,44,Silver,2864,13213,10349,2024-11-30,2025-06-06,active
24,47,Gold,18624,47094,28470,2024-12-28,2025-07-24,active
25,48,Bronze,16681,28352,11671,2025-03-04,2025-08-02,active
26,52,Silver,4353,36421,32068,2025-06-25,2025-10-26,active
27,53,Bronze,7638,32318,24680,2025-10-16,2025-10-23,active
28,60,Gold,2898,37239,34341,2025-10-05,2025-10-14,active
29,61,Bronze,2489,7601,5112,2025-02-15,2025-08-12,active
30,62,Bronze,4437,5249,812,2025-10-16,2025-10-24,active
31,63,Bronze,1956,32457,30501,2025-06-27,2025-10-21,active
32,65,Bronze,9894,49594,39700,2025-10-30,2025-10-31,active
33,67,Bronze,38154,39957,1803,2025-06-22,2025-09-24,active
34,68,Bronze,888,8362,7474,2024-04-27,2024-06-27,active
35,71,Silver,10136,23438,13302,2024-11-21,2025-07-31,active
36,73,Bronze,3691,24629,20938,2025-04-17,2025-05-24,active
37,74,Silver,17973,31652,13679,2025-05-27,2025-05-29,active
38,75,Bronze,3429,10072,6643,2025-09-17,2025-10-25,active
39,76,Gold,2067,4503,2436,2025-10-02,2025-10-06,active
40,78,Bronze,13469,16305,2836,2025-06-10,2025-10-25,active
41,79,Gold,14732,45785,31053,2025-06-13,2025-07-08,active
42,80,Bronze,31778,40958,9180,2024-12-14,2025-02-22,active
43,81,Bronze,8489,13392,4903,2025-09-14,2025-10-13,active
44,84,Bronze,9871,16567,6696,2025-10-31,2025-10-31,active
45,85,Silver,4782,5252,470,2025-08-26,2025-10-28,active
46,86,Platinum,1202,13831,12629,2025-06-16,2025-06-30,active
47,87,Bronze,18150,47961,29811,2024-02-16,2025-07-07,active
48,88,Bronze,21419,35131,13712,2025-03-02,2025-03-10,active
49,90,Bronze,28270,40692,12422,2025-05-18,2025-09-01,active
50,91,Platinum,3958,9840,5882,2025-01-31,2025-07-22,active
51,92,Gold,5379,38122,32743,2025-02-01,2025-05-11,active
52,94,Silver,800,1500,700,2025-01-22,2025-10-18,active
53,95,Gold,18757,27085,8328,2025-09-05,2025-09-16,active
54,98,Bronze,20894,38589,17695,2025-06-02,2025-08-20,active
55,99,Bronze,3455,5876,2421,2025-08-09,2025-09-01,active
56,101,Silver,3586,30804,27218,2024-08-26,2024-09-13,active
57,103,Bronze,5136,16497,11361,2025-10-22,2025-10-25,active
58,104,Bronze,9520,11685,2165,2025-06-01,2025-08-27,active
59,108,Bronze,1929,3663,1734,2025-06-02,2025-09-04,active
60,109,Bronze,26228,38807,12579,2025-09-07,2025-10-04,active
61,110,Bronze,2321,8155,5834,2025-10-28,2025-10-29,active
62,111,Bronze,32667,42087,9420,2025-06-16,2025-06-18,active
63,114,Bronze,29402,47534,18132,2025-05-14,2025-06-22,active
64,116,Bronze,10022,44024,34002,2025-10-02,2025-10-11,active
65,117,Gold,13933,22766,8833,2025-09-26,2025-10-08,active
66,118,Bronze,2634,13911,11277,2024-07-22,2025-10-04,active
67,120,Bronze,6796,34281,27485,2025-04-18,2025-07-03,active
68,121,Gold,9078,14593,5515,2024-03-14,2024-08-05,active
69,123,Gold,4280,17241,12961,2025-09-27,2025-10-25,active
70,124,Bronze,672,16798,16126,2025-03-15,2025-06-09,active
71,127,Gold,12923,45105,32182,2025-09-20,2025-09-27,active
72,128,Silver,3783,44847,41064,2025-05-19,2025-10-07,active
73,130,Bronze,31792,41642,9850,2025-08-29,2025-09-25,active
74,131,Gold,2427,3195,768,2024-06-23,2025-08-20,active
75,132,Bronze,7652,19872,12220,2024-11-05,2025-03-24,active
76,135,Bronze,20823,47782,26959,2025-02-20,2025-09-19,active
77,136,Bronze,18844,37182,18338,2025-10-03,2025-10-13,active
78,137,Bronze,748,24692,23944,2025-10-22,2025-10-26,active
79,140,Silver,17400,21142,3742,2024-07-28,2025-03-25,active
80,141,Bronze,13006,21120,8114,2025-07-27,2025-10-11,active
81,142,Bronze,1705,20760,19055,2024-09-24,2025-01-24,active
82,143,Bronze,6895,42522,35627,2025-04-28,2025-09-03,active
83,144,Bronze,14437,27545,13108,2025-01-12,2025-04-17,active
84,146,Bronze,2039,2373,334,2025-05-26,2025-07-31,active
85,147,Bronze,22278,33565,11287,2024-09-24,2025-09-20,active
86,148,Silver,27508,44491,16983,2025-07-05,2025-10-25,active
87,149,Gold,27284,44366,17082,2025-09-26,2025-09-28,active
88,151,Silver,19477,32477,13000,2025-07-04,2025-07-22,active
89,154,Silver,24678,42602,17924,2025-10-17,2025-10-17,active
90,155,Silver,19613,22934,3321,2025-07-29,2025-09-17,active
91,156,Gold,21799,27181,5382,2025-10-31,2025-11-01,active
92,157,Silver,7586,21412,13826,2024-11-03,2024-12-15,active
93,158,Bronze,6749,10249,3500,2024-09-03,2025-04-23,active
94,159,Bronze,9319,37296,27977,2025-02-12,2025-07-21,active
95,163,Bronze,1174,37099,35925,2025-04-22,2025-06-03,active
96,164,Gold,13826,17024,3198,2025-05-10,2025-07-23,active
97,165,Bronze,6243,25295,19052,2025-09-21,2025-10-16,active
98,167,Bronze,33799,40413,6614,2025-05-16,2025-09-18,active
99,175,Bronze,1870,49943,48073,2024-05-29,2025-03-28,active
100,177,Bronze,8759,17396,8637,2025-08-11,2025-10-01,active
101,181,Bronze,3540,4249,709,2025-07-28,2025-09-05,active
102,183,Bronze,26675,36051,9376,2024-11-02,2025-08-21,active
103,187,Silver,41364,45091,3727,2025-08-31,2025-09-11,active
104,188,Silver,6247,36544,30297,2025-06-26,2025-06-30,active
105,189,Bronze,33725,37957,4232,2025-08-28,2025-10-24,active
106,193,Bronze,1121,8055,6934,2024-02-20,2025-02-27,active
107,194,Bronze,16221,20514,4293,2024-10-11,2025-09-23,active
108,195,Bronze,20871,23553,2682,2025-02-26,2025-05-01,active
109,196,Bronze,18633,32963,14330,2025-07-25,2025-07-31,active
110,198,Bronze,7384,29780,22396,2024-12-17,2025-03-14,active
111,202,Bronze,26508,38267,11759,2024-10-14,2025-03-19,active
112,203,Silver,1095,9976,8881,2025-10-23,2025-10-28,active
113,204,Silver,7791,37778,29987,2025-10-31,2025-10-31,active
114,205,Gold,1324,6667,5343,2025-05-09,2025-05-19,active
115,206,Bronze,14262,28596,14334,2025-08-06,2025-10-27,active
116,207,Gold,2691,8573,5882,2025-09-19,2025-10-18,active
117,208,Bronze,16855,18364,1509,2024-12-18,2025-04-02,active
118,209,Silver,6863,10503,3640,2025-06-01,2025-09-19,active
119,211,Bronze,18846,31900,13054,2025-09-24,2025-10-27,active
120,212,Silver,18279,27538,9259,2025-05-24,2025-10-06,active
121,214,Bronze,5942,9839,3897,2025-10-08,2025-10-22,active
122,215,Bronze,28866,42251,13385,2025-10-14,2025-10-15,active
123,217,Bronze,17432,21994,4562,2025-07-17,2025-09-08,active
124,220,Bronze,2986,34065,31079,2024-12-31,2025-10-02,active
125,221,Bronze,23143,28441,5298,2025-08-18,2025-10-07,active
126,222,Silver,3407,19914,16507,2025-08-08,2025-08-12,active
127,224,Bronze,23229,27091,3862,2024-12-04,2025-04-28,active
128,226,Bronze,10590,33689,23099,2025-07-18,2025-07-27,active
129,227,Silver,10880,33068,22188,2025-08-01,2025-10-29,active
130,229,Silver,12799,34618,21819,2025-03-05,2025-04-28,active
131,230,Bronze,15068,22125,7057,2025-06-17,2025-07-28,active
132,231,Silver,57,5069,5012,2025-10-15,2025-10-29,active
133,232,Bronze,1008,1515,507,2025-10-19,2025-10-29,active
134,238,Bronze,36194,48598,12404,2025-05-21,2025-09-02,active
135,239,Silver,437,660,223,2025-07-23,2025-08-07,active
136,240,Bronze,3564,21198,17634,2025-08-28,2025-08-30,active
137,241,Gold,2064,7718,5654,2025-03-18,2025-04-02,active
138,242,Bronze,9222,19923,10701,2025-07-06,2025-09-06,active
139,243,Bronze,813,25362,24549,2024-12-21,2025-05-22,active
140,244,Silver,36404,43832,7428,2025-03-21,2025-05-16,active
141,248,Bronze,12724,18723,5999,2024-08-02,2024-09-15,active
142,249,Bronze,1525,37503,35978,2024-07-10,2024-08-03,active
143,250,Bronze,22900,36984,14084,2025-09-21,2025-10-26,active
144,251,Silver,7735,11531,3796,2025-03-21,2025-07-30,active
145,256,Bronze,7767,30977,23210,2025-06-07,2025-08-13,active
146,258,Bronze,30238,38743,8505,2025-10-30,2025-10-30,active
147,259,Bronze,464,1049,585,2025-02-28,2025-08-31,active
148,264,Silver,7934,31065,23131,2024-11-23,2025-07-15,active
149,267,Bronze,1462,10285,8823,2024-08-30,2025-01-30,active
150,269,Bronze,135,20556,20421,2025-07-07,2025-10-21,active
151,273,Bronze,43906,45169,1263,2025-09-03,2025-09-27,active
152,280,Silver,2247,4697,2450,2024-06-25,2025-01-31,active
153,281,Bronze,20893,39803,18910,2025-05-30,2025-08-19,active
154,282,Silver,3481,21042,17561,2025-08-31,2025-10-19,active
155,283,Bronze,3263,26182,22919,2025-10-09,2025-10-23,active
156,284,Gold,25928,38012,12084,2025-10-12,2025-10-18,active
157,285,Silver,15742,48810,33068,2025-08-22,2025-10-30,active
158,287,Silver,24385,38170,13785,2025-10-19,2025-10-22,active
159,288,Gold,349,2640,2291,2025-02-22,2025-09-11,active
160,291,Bronze,38482,47766,9284,2025-08-14,2025-10-18,active
161,293,Platinum,11922,28923,17001,2025-02-18,2025-03-03,active
162,294,Gold,11585,20349,8764,2024-12-22,2024-12-24,active
163,295,Bronze,11394,20222,8828,2025-09-12,2025-09-27,active
164,296,Bronze,4818,9187,4369,2025-10-16,2025-10-23,active
165,297,Bronze,3841,21828,17987,2025-04-26,2025-07-27,active
166,299,Bronze,354,8658,8304,2025-05-30,2025-06-14,active
167,300,Bronze,26636,28881,2245,2025-09-06,2025-09-16,active
168,301,Silver,9680,48527,38847,2025-03-22,2025-05-29,active
169,303,Bronze,5814,6044,230,2025-06-20,2025-07-20,active
170,305,Bronze,1317,21204,19887,2025-06-22,2025-08-01,active
171,306,Gold,3489,10432,6943,2025-04-08,2025-07-26,active
172,309,Silver,1080,28406,27326,2025-10-28,2025-10-31,active
173,311,Bronze,7359,28125,20766,2025-07-17,2025-10-10,active
174,314,Silver,783,1400,617,2024-11-28,2025-09-23,active
175,316,Silver,35508,41282,5774,2024-10-04,2024-12-16,active
176,319,Silver,24811,34644,9833,2025-09-12,2025-09-29,active
177,320,Bronze,5488,6436,948,2025-10-31,2025-11-01,active
178,323,Bronze,1786,10060,8274,2025-08-13,2025-08-16,active
179,325,Gold,26,1713,1687,2025-09-13,2025-10-10,active
180,326,Bronze,851,2923,2072,2025-03-03,2025-10-16,active
181,329,Silver,511,1041,530,2024-03-01,2024-04-09,active
182,331,Silver,5586,34422,28836,2025-05-27,2025-09-10,active
183,333,Bronze,12165,14803,2638,2025-04-08,2025-10-27,active
184,335,Bronze,31997,44581,12584,2025-03-19,2025-10-19,active
185,339,Bronze,17900,49134,31234,2024-05-06,2024-05-28,active
186,340,Silver,3135,20918,17783,2025-01-26,2025-04-13,active
187,341,Silver,744,1638,894,2025-03-08,2025-09-06,active
188,342,Bronze,8838,24349,15511,2024-07-05,2025-08-03,active
189,345,Bronze,24695,25865,1170,2025-05-02,2025-05-21,active
190,346,Bronze,13330,22493,9163,2024-11-01,2025-09-11,active
191,349,Silver,13355,46319,32964,2025-05-30,2025-07-28,active
192,352,Bronze,7153,27672,20519,2025-02-13,2025-05-15,active
193,353,Bronze,17414,17940,526,2025-06-17,2025-06-25,active
194,357,Bronze,4901,7852,2951,2025-07-15,2025-10-23,active
195,359,Bronze,24158,28268,4110,2025-04-20,2025-06-18,active
196,360,Silver,41398,43587,2189,2025-08-31,2025-10-29,active
197,361,Bronze,8709,16580,7871,2025-08-09,2025-08-28,active
198,362,Bronze,26984,40398,13414,2025-09-20,2025-10-16,active
199,363,Silver,12206,23224,11018,2025-04-30,2025-09-27,active
200,366,Bronze,8904,9063,159,2025-10-20,2025-10-27,active
201,367,Bronze,26942,46413,19471,2025-09-03,2025-10-29,active
202,369,Bronze,2641,4380,1739,2025-10-14,2025-10-18,active
203,372,Bronze,1283,12477,11194,2025-05-02,2025-10-20,active
204,374,Bronze,30389,41349,10960,2025-09-29,2025-10-04,active
205,376,Bronze,18491,33290,14799,2025-02-07,2025-02-14,active
206,377,Silver,1595,5045,3450,2025-05-01,2025-05-21,active
207,381,Bronze,2638,29020,26382,2025-02-01,2025-06-01,active
208,384,Bronze,12446,24222,11776,2025-05-01,2025-09-04,active
209,389,Bronze,17251,21552,4301,2025-10-03,2025-10-21,active
210,390,Bronze,33019,43410,10391,2025-03-28,2025-04-06,active
211,393,Bronze,24778,37709,12931,2025-10-29,2025-11-01,active
212,396,Bronze,2426,2610,184,2025-01-19,2025-03-16,active
213,399,Platinum,2689,34868,32179,2025-02-03,2025-10-12,active
214,400,Silver,30333,47450,17117,2024-06-19,2024-12-14,active
215,401,Silver,41753,44245,2492,2025-10-28,2025-10-29,active
216,403,Bronze,682,19864,19182,2025-01-10,2025-08-05,active
217,405,Bronze,732,15338,14606,2025-05-19,2025-07-13,active
218,406,Silver,4405,12349,7944,2025-06-02,2025-09-30,active
219,407,Silver,35817,48841,13024,2025-10-28,2025-10-29,active
220,408,Bronze,2371,5376,3005,2025-08-18,2025-08-19,active
221,412,Silver,531,827,296,2025-07-06,2025-08-23,active
222,415,Bronze,24251,33622,9371,2025-10-05,2025-10-24,active
223,416,Bronze,10634,14550,3916,2025-10-26,2025-11-01,active
224,418,Platinum,40690,41431,741,2025-02-26,2025-10-21,active
225,419,Platinum,1187,3419,2232,2025-04-12,2025-04-15,active
226,420,Bronze,2446,7712,5266,2025-02-28,2025-03-05,active
227,421,Bronze,6841,37524,30683,2025-05-16,2025-10-17,active
228,422,Bronze,20340,27383,7043,2024-12-07,2025-06-21,active
229,423,Silver,11294,18970,7676,2024-11-04,2025-03-13,active
230,424,Gold,7869,49431,41562,2025-07-25,2025-09-28,active
231,426,Bronze,6034,15120,9086,2025-08-19,2025-10-09,active
232,430,Gold,37305,42891,5586,2025-10-12,2025-10-20,active
233,432,Silver,24854,32250,7396,2025-08-16,2025-08-30,active
234,434,Bronze,11705,22951,11246,2025-07-17,2025-08-14,active
235,435,Bronze,7025,34163,27138,2025-07-26,2025-10-20,active
236,436,Bronze,7766,11033,3267,2025-03-29,2025-06-24,active
237,439,Bronze,9410,17243,7833,2025-09-22,2025-10-15,active
238,441,Bronze,11971,23205,11234,2025-06-11,2025-08-13,active
239,443,Bronze,2720,3397,677,2025-01-23,2025-10-30,active
240,445,Bronze,9937,33154,23217,2025-05-08,2025-07-01,active
241,451,Silver,22785,34307,11522,2025-09-02,2025-09-24,active
242,452,Silver,16059,17570,1511,2025-06-17,2025-10-06,active
243,453,Bronze,1697,6072,4375,2025-06-15,2025-06-28,active
244,456,Silver,21828,26736,4908,2025-06-29,2025-08-24,active
245,458,Bronze,2834,17180,14346,2024-04-08,2025-10-22,active
246,459,Bronze,10624,21177,10553,2024-11-06,2025-08-26,active
247,462,Silver,558,7942,7384,2024-11-06,2024-12-20,active
248,465,Bronze,2785,7358,4573,2024-11-26,2025-09-13,active
249,466,Bronze,6589,8948,2359,2025-05-12,2025-09-09,active
250,468,Bronze,17701,41665,23964,2024-10-27,2025-07-02,active
251,469,Bronze,21858,33687,11829,2025-06-29,2025-08-22,active
252,470,Bronze,11071,24554,13483,2025-04-04,2025-06-02,active
253,472,Bronze,8855,12572,3717,2025-10-17,2025-10-22,active
254,473,Silver,7162,13285,6123,2025-09-16,2025-10-10,active
255,474,Bronze,17936,25930,7994,2025-08-01,2025-09-19,active
256,475,Gold,18393,39930,21537,2025-10-26,2025-10-28,active
257,477,Silver,9718,35443,25725,2025-09-26,2025-10-03,active
258,478,Bronze,14787,26549,11762,2025-07-27,2025-10-26,active
259,480,Bronze,12631,19187,6556,2024-10-17,2025-03-19,active
260,481,Bronze,7891,9519,1628,2025-08-24,2025-08-26,active
261,482,Bronze,2727,11043,8316,2025-11-01,2025-11-01,active
262,488,Gold,14642,40276,25634,2025-06-24,2025-09-24,active
263,491,Bronze,24660,46677,22017,2024-12-13,2025-02-15,active
264,494,Silver,23037,27412,4375,2025-09-07,2025-10-17,active
265,495,Bronze,24190,34544,10354,2025-07-26,2025-10-27,active
266,496,Bronze,3625,4380,755,2025-02-02,2025-07-03,active
267,497,Bronze,7462,9433,1971,2025-10-18,2025-10-29,active
268,503,Bronze,36718,48402,11684,2025-07-02,2025-08-25,active
269,504,Gold,5130,29094,23964,2025-10-05,2025-10-24,active
270,509,Bronze,9989,18006,8017,2025-09-28,2025-10-18,active
271,511,Bronze,2471,2629,158,2025-05-16,2025-09-07,active
272,512,Gold,2108,13718,11610,2025-02-06,2025-10-12,active
273,516,Bronze,36160,49565,13405,2025-05-26,2025-09-25,active
274,517,Bronze,28739,40870,12131,2024-08-31,2024-11-24,active
275,518,Bronze,42721,49503,6782,2025-09-20,2025-10-09,active
276,519,Silver,3223,37691,34468,2025-09-19,2025-10-10,active
277,520,Silver,170,7777,7607,2024-03-24,2024-12-24,active
278,524,Bronze,9947,27095,17148,2025-09-20,2025-10-29,active
279,526,Bronze,23404,40511,17107,2025-05-31,2025-10-25,active
280,529,Bronze,16404,42531,26127,2025-05-21,2025-08-05,active
281,535,Bronze,2349,8799,6450,2025-04-13,2025-09-09,active
282,536,Silver,4078,28075,23997,2025-05-06,2025-08-01,active
283,538,Bronze,1043,15192,14149,2025-07-13,2025-08-07,active
284,539,Bronze,383,1310,927,2025-05-30,2025-08-09,active
285,540,Bronze,18659,36727,18068,2024-12-10,2025-09-11,active
286,541,Bronze,29567,32901,3334,2024-11-16,2024-12-11,active
287,542,Gold,27165,35753,8588,2024-08-13,2025-08-12,active
288,545,Silver,5224,38157,32933,2025-09-15,2025-10-21,active
289,546,Bronze,22534,33948,11414,2025-03-10,2025-08-18,active
290,548,Bronze,2264,11312,9048,2025-10-10,2025-10-10,active
291,549,Gold,1516,1812,296,2025-09-16,2025-10-30,active
292,552,Bronze,2180,5565,3385,2025-01-06,2025-02-11,active
293,553,Silver,8530,36900,28370,2025-09-04,2025-10-14,active
294,556,Bronze,2316,3539,1223,2025-04-08,2025-10-31,active
295,557,Silver,8366,11605,3239,2025-07-30,2025-10-09,active
296,558,Bronze,30215,37974,7759,2025-08-01,2025-10-15,active
297,559,Bronze,16652,29930,13278,2024-11-01,2025-06-12,active
298,561,Platinum,14042,19530,5488,2024-12-13,2025-03-05,active
299,569,Silver,11369,21198,9829,2025-05-13,2025-06-12,active
300,570,Silver,19722,28499,8777,2025-09-19,2025-11-01,active
301,571,Bronze,2620,9384,6764,2025-07-28,2025-10-05,active
302,573,Bronze,27839,32934,5095,2025-10-31,2025-10-31,active
303,574,Bronze,912,15324,14412,2025-10-12,2025-10-15,active
304,576,Gold,10806,29453,18647,2025-10-06,2025-10-29,active
305,577,Gold,2932,3146,214,2024-08-09,2024-12-11,active
306,578,Silver,2388,16481,14093,2025-11-01,2025-11-01,active
307,579,Bronze,4978,9045,4067,2025-03-07,2025-07-09,active
308,580,Bronze,17145,20468,3323,2024-12-15,2025-03-26,active
309,583,Silver,6006,7217,1211,2025-10-06,2025-10-07,active
310,584,Bronze,40756,42482,1726,2025-09-07,2025-09-17,active
311,585,Bronze,15571,26492,10921,2025-01-11,2025-05-26,active
312,586,Silver,2850,6492,3642,2025-02-14,2025-06-18,active
313,587,Bronze,7626,14537,6911,2025-05-06,2025-10-17,active
314,589,Silver,31421,43004,11583,2025-09-13,2025-09-27,active
315,590,Bronze,19545,31693,12148,2025-09-20,2025-09-28,active
316,591,Silver,35142,47698,12556,2024-07-13,2025-02-21,active
317,594,Bronze,3363,11722,8359,2025-10-31,2025-11-01,active
318,597,Bronze,5078,43284,38206,2025-09-05,2025-10-16,active
319,600,Bronze,4873,8527,3654,2025-07-14,2025-10-14,active
320,601,Bronze,34156,38012,3856,2025-09-15,2025-09-20,active
321,603,Bronze,10172,27880,17708,2024-10-12,2025-09-17,active
322,607,Bronze,1396,1783,387,2025-09-04,2025-09-14,active
323,608,Silver,11568,31815,20247,2024-10-22,2025-03-02,active
324,609,Silver,16060,48799,32739,2025-02-10,2025-03-11,active
325,611,Silver,15484,22439,6955,2025-08-05,2025-10-17,active
326,612,Bronze,8355,37946,29591,2025-03-26,2025-06-23,active
327,617,Gold,295,310,15,2025-02-21,2025-03-28,active
328,618,Gold,10091,12794,2703,2025-09-30,2025-10-31,active
329,622,Bronze,13035,17403,4368,2025-05-16,2025-10-21,active
330,623,Bronze,984,45747,44763,2025-07-15,2025-09-28,active
331,624,Bronze,242,45733,45491,2024-06-11,2024-12-02,active
332,625,Bronze,2612,4488,1876,2024-09-12,2025-01-20,active
333,627,Bronze,23831,42355,18524,2025-04-21,2025-10-20,active
334,628,Gold,11714,14482,2768,2025-01-27,2025-03-01,active
335,630,Bronze,25316,27609,2293,2025-08-26,2025-09-13,active
336,632,Bronze,1715,7689,5974,2025-09-24,2025-10-16,active
337,634,Platinum,19570,45686,26116,2024-12-02,2025-05-30,active
338,635,Bronze,28435,41823,13388,2025-08-18,2025-08-21,active
339,636,Bronze,8175,25237,17062,2025-03-18,2025-05-05,active
340,638,Bronze,2154,3755,1601,2025-08-26,2025-10-12,active
341,640,Bronze,5742,12031,6289,2024-06-01,2024-06-05,active
342,651,Bronze,619,3037,2418,2024-10-22,2024-12-17,active
343,652,Bronze,29551,30551,1000,2025-03-21,2025-07-24,active
344,654,Silver,6955,33802,26847,2023-12-26,2025-01-14,active
345,655,Bronze,705,2385,1680,2024-10-03,2025-10-29,active
346,656,Silver,18007,22053,4046,2025-09-19,2025-10-17,active
347,657,Bronze,6959,29042,22083,2025-10-30,2025-10-30,active
348,658,Bronze,10529,35671,25142,2024-12-08,2025-08-08,active
349,660,Gold,52,2695,2643,2025-05-25,2025-08-25,active
350,661,Bronze,952,47928,46976,2025-05-16,2025-08-28,active
351,665,Bronze,42707,48971,6264,2025-07-25,2025-08-05,active
352,672,Bronze,1077,2433,1356,2025-01-12,2025-02-12,active
353,673,Bronze,12357,25157,12800,2025-09-18,2025-10-23,active
354,675,Bronze,5224,6952,1728,2025-09-03,2025-09-10,active
355,676,Gold,6232,8647,2415,2025-06-20,2025-10-02,active
356,678,Bronze,7666,11146,3480,2025-10-08,2025-10-24,active
357,681,Silver,9320,21040,11720,2025-10-14,2025-10-23,active
358,682,Bronze,12715,21274,8559,2025-07-26,2025-09-29,active
359,689,Bronze,6354,15848,9494,2025-10-16,2025-10-29,active
360,690,Bronze,1906,39819,37913,2025-09-11,2025-10-09,active
361,694,Bronze,71,172,101,2025-01-25,2025-03-23,active
362,699,Bronze,466,22734,22268,2025-09-30,2025-10-07,active
363,700,Bronze,36496,37706,1210,2025-01-12,2025-01-12,active
